id;es;en
Q116546;Terramar;Earthsea series
Q1000165;Crónicas de la prehistoria;Chronicles of Ancient Darkness
Q1027525;Left Behind;Left Behind
Q1050442;Ikebukuro West Gate Park;Ikebukuro West Gate Park
Q109258543;Buta no Liver wa Kanetsu Shiro;Heat the Pig Liver
Q109258665;Tensei Ōjo to Tensai Reijō no Mahō Kakumei;The Magical Revolution of the Reincarnated Princess and the Genius Young Lady
Q109258837;Ishura;Ishura
Q109297684;Isekai Shōkan wa Nidome Desu;Summoned to Another World... Again?
Q109357576;Higeki no Genkyō to Naru Saikyō Gedō Last Boss Joō wa Tami no Tame ni Tsukushimasu;The Most Heretical Last Boss Queen
Q109512224;Zombie no Afureta Sekai de Ore Dake ga Osowarenai;In a World Full of Zombies I'm the Only One Who Doesn't Get Attacked
Q109512237;Watashi ga Koibito ni Nareru Wake Naijan, Muri Muri! Muri Janakatta!?;There's No Freaking Way I'll be Your Lover! Unless...
Q109512255;Watashi no Shiawase na Kekkon;My Happy Marriage
Q109941545;Yowai 5000-nen no Sōshoku Dragon, Iwarenaki Jaryū Ninte;A Herbivorous Dragon of 5,000 Years Gets Unfairly Villainized
Q110130996;Kōkyū no Karasu;Raven of the Inner Palace
Q1051427;Goshūshō-sama Ninomiya-kun;Goshūshō-sama Ninomiya-kun
Q1059747;Gundam Sentinel;Gundam Sentinel
Q1062998;Anexo:Novelas CSI;CSI
Q1067357;El elfo oscuro;The Dark Elf Trilogy
Q1068491;Tara Duncan;Tara Duncan
Q1072082;Vampire Hunter D;Vampire Hunter D
Q1083859;Saint Seiya Gigantomachia;Saint Seiya: Gigantomachia
Q1087664;Chrome Shelled Regios;Chrome Shelled Regios
Q1089186;Academia de Vampiros;Vampire Academy
Q110157755;Sasaki to Pī-chan;Sasaki and Peeps
Q110254736;Tsundere Akuyaku Reijō Rīzerotte to Jikkyō no Endō-kun to Kaisetsu no Kobayashi-san;Endo and Kobayashi Live! The Latest on Tsundere Villainess Lieselotte
Q110291441;Nihon e Yōkoso Elf-san.;Welcome to Japan, Ms. Elf!
Q110635478;Kami wa Game ni Ueteiru;Gods' Games We Play
Q110732263;Mushikaburi-hime;Bibliophile Princess
Q110735879;Saikyō Onmyōji no Isekai Tenseiki;The Reincarnation of the Strongest Exorcist in Another World
Q110941604;Kuro no Shōkanshi;Black Summoner
Q111019395;Nōmin Kanren no Skill Bakka Agetetara Nazeka Tsuyoku Natta;I've Somehow Gotten Stronger When I Improved My Farm-Related Skills
Q111317616;Make Heroine ga Ōsugiru!;Too Many Losing Heroines!
Q1092918;Leatherstocking Tales;Leatherstocking Tales
Q1093358;Crónicas del mundo emergido;Chronicles of the Emerged World trilogy
Q1105832;Maoyū Maō Yūsha;Maoyu
Q1111179;Las novelas de D'Artagnan;D'Artagnan Romances
Q1124453;La Trilogía Nikopol;The Nikopol Trilogy
Q1134354;Los Cinco;The Famous Five
Q1141213;El reino mágico de Landover;Magic Kingdom of Landover
Q1141789;Fate/Zero;Fate/Zero
Q1151115;Banner of the Stars;Banner of the Stars
Q1151546;Happiness!;Happiness!
Q1164801;La casa de la noche;House of Night
Q10279894;Oscuros;Fallen
Q10376289;Aubrey-Maturin;Aubrey-Maturin series
Q10855446;Hitsugi no Chaika;Hitsugi no Chaika
